"id","nombre","resumen","telefono","tamano","ubicaciones","fundacion","sector","sitio_web","sede","especialidades","codigo_postal","ciudad","empleados","url"
12345,"AGROINDUSTRIAS NUTRICIONALES","AGROINDUSTRIAS NUTRICIONALES is a farming company based out of Tepatitlan De Morelos, Mexico.",,"11-50 employees","{""1"": {""Direccion"": ""CALLE GANADEROS 243""}}","2009","[""Farming""]","[""www.agroindustriasnutri.com\n      \n\n\n\nExternal link for AGROINDUSTRIAS NUTRICIONALES""]","[]","[]","{}","Tepatitlan de Morelos,  Jalisco,  Mexico","[{""Nombre"": ""Luis Alejandro Munoz Martin"", ""Cargo"": ""Agroindustrias Nutricionales, SA de CV Director General"", ""Foto"": ""https://media.licdn.com/dms/image/v2/D5603AQFlJUkeTvkfmQ/profile-displayphoto-shrink_100_100/B56ZXJMtqKHQAY-/0/1742837309600?e=2147483647&v=beta&t=1Gp6dFI2UikNaraYLuBpT3XGzBlm8GdAtIPvxl9V7B4"", ""Perfil"": ""https://mx.linkedin.com/in/luis-alejandro-mu%C3%B1oz-mart%C3%ADn-93115b67?trk=org-employees""}]","https://www.linkedin.com/company/agroindustrias-nutricionales/"
18734,"TECNOLOGIAS MEXICO","­ƒÜÇ Innovacion, Tecnologia y Futuro ­ƒÅÑ­ƒôÜ

Somos un equipo elite de expertos en tecnologia, apasionados por la innovacion y el desarrollo de soluciones de alto impacto. Transformamos la administracion, seguridad y aprendizaje en instituciones educativas y revolucionamos el sector salud con herramientas tecnologicas de ultima generacion.

­ƒÆí Desde 2008, hemos cambiado la manera en que mas de 100 instituciones en Mexico y Latinoamerica gestionan su educacion con nuestras soluciones inteligentes. Nuestra fabrica de software no solo simplifica procesos, sino que lleva la ensenanza a otro nivel con plataformas de administracion, prospeccion de alumnos, credencializacion, control de inventarios, seguridad, comunicacion y aprendizaje en linea.

­ƒö¼ Contamos con una subdivision en el area de salud, donde innovamos con tecnologia de vanguardia, desarrollando software especializado para hospitales, clinicas y profesionales medicos. Ademas, fabricamos equipos medicos de alta precision y ofrecemos insumos, mobiliario y equipamiento para quirofanos, centrales de esterilizacion (CEYES) y centros hospitalarios.

­ƒîÄ Nuestra mision es clara: automatizar, proteger y transformar cada rincon del sector educativo y de la salud con soluciones tecnologicas que generan impacto real. Confia en la empresa que esta marcando el futuro.

­ƒÜÇ Potenciamos la educacion. ­ƒö¼ Innovamos la salud. ­ƒîì Transformamos el mundo.",,"11-50 employees","{""1"": {""Direccion"": ""Av. Condesa 12, Brisas Diamante, Puerto Escondido, Oaxaca 7180, MX""}}","2008","[""Technology"","" Information and Internet""]","[""http://www.tecnologiasmexico.com\n      \n\nExternal link for TECNOLOGIAS MEXICO""]","[""Puerto Escondido, Oaxaca""]","[""PLATAFORMA WEB PARA DOCENTES Y ESTUDIANTES"","" PLATAFORMA WEB PARA BIBLIOTECA VIRTUAL"","" SOFTWARE DE GESTION ESCOLAR"","" REGISTRO DE DOMINIOS WEB"","" FABRICA DE SOFTWARE"","" SOFTWARE DE GESTION PARA CONTRALORIA/COBRANZA/FINANZAS"","" DESARROLLO E IMPLEMENTACION DE PLATAFORMAS VIRTUALES PARA EDUCACION EN LINEA"","" IMPLEMENTACION DE TIENDAS EN LINEA"","" DESARROLLO WEB PARA EMPRESAS O INSTITUCIONES EDUCATIVAS"","" SERVICIOS DE OUTSOURCING TECNOLOGICO"","" MESA ANATOMICA DE DISECCION VIRTUAL"","" and TECNOLOGIA EN ENFERMERIA Y MEDICINA""]","{}","Puerto Escondido,  Oaxaca,  Mexico","[{""Nombre"": ""Kevin Lenin Chavez Santiago"", ""Cargo"": ""Coordinador comercial en Tecnologias Mexico"", ""Foto"": ""https://media.licdn.com/dms/image/v2/C5603AQFeYgyygqHVHA/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1517338548670?e=2147483647&v=beta&t=ff6C3_bPnY1cnxBcqNchWmOv_rr53wNcj5ckW-z3n9c"", ""Perfil"": ""https://mx.linkedin.com/in/kevin-lenin-chavez-santiago-868b90105?trk=org-employees""}, {""Nombre"": ""Andres Gamez"", ""Cargo"": ""INGENIERO EN GESTION EMPRESARIAL"", ""Foto"": ""https://media.licdn.com/dms/image/v2/D4E03AQEQfM8KbbHnjA/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1664818119080?e=2147483647&v=beta&t=0pkiBL0bKJnq7aQwtLsv1NAof9kjEhlX3kxdVuu9Osw"", ""Perfil"": ""https://mx.linkedin.com/in/andres-gamez-273540252?trk=org-employees""}, {""Nombre"": ""Luz G"", ""Cargo"": ""Desarrollador web en TECNOLOGIAS MEXICO"", ""Foto"": ""https://media.licdn.com/dms/image/v2/D4E03AQHbSoBVv56M_g/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1669328900073?e=2147483647&v=beta&t=iuW8McO_-DfVxjPEKJw4DjzilNHLQOj-AxGHKpl5q8s"", ""Perfil"": ""https://mx.linkedin.com/in/luz-g-31b404258?trk=org-employees""}, {""Nombre"": ""RSOTO TMX"", ""Cargo"": ""Soporte a aplicaciones en TECNOLOGIAS MEXICO"", ""Foto"": ""https://media.licdn.com/dms/image/v2/D4E03AQF-zfM3JRK8sA/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1669333082854?e=2147483647&v=beta&t=_-HsFzQpFXeTCnQyw1fGDGH9HVs_MzEabiopZLxtN1Q"", ""Perfil"": ""https://mx.linkedin.com/in/rsoto-tmx-03b408258?trk=org-employees""}]","https://www.linkedin.com/company/tecnologiasmexico/"
24267,"Dia del Fan┬«","El dia del fan se festeja el 18 de marzo en mas de 15 paises para reconocer el arduo trabajo que hacen por sus estrellas favoritas.",,"11-50 employees","{""1"": {""Direccion"": ""Ciudad de Mexico, MX""}}","2010","[""Non-profit Organizations""]","[""http://www.diadelfan.org\n      \n\n\n\nExternal link for Dia del Fan┬«""]","[""Ciudad de Mexico""]","[]","{}","Ciudad Madero,  Tamaulipas,  Mexico","[{""Nombre"": ""Laura Rodriguez Cruz"", ""Cargo"": ""Managing Director Presea Citlal,Fans Choice Awards and Showcase."", ""Foto"": ""https://media.licdn.com/dms/image/v2/D4E03AQEhKdZCsunGig/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1718278874177?e=2147483647&v=beta&t=XBmlTu7njl14Oyema-DMSF_FpXyYI8NnkmJcyA88m2o"", ""Perfil"": ""https://mx.linkedin.com/in/laurarodriguezcruz/en?trk=org-employees""}, {""Nombre"": ""Fernanda Estrella L."", ""Cargo"": ""Fundadora de los Fans Choice Awards┬«, Showcase┬« y el Dia del Fan┬«."", ""Foto"": ""https://media.licdn.com/dms/image/v2/D4E03AQFya57kt7Y7ng/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1728294378132?e=2147483647&v=beta&t=TZgptuuuGOOnOB9QeD8Wi-7FyLPfyR6eF-9dZTKRiKw"", ""Perfil"": ""https://mx.linkedin.com/in/fernandaestrellal?trk=org-employees""}, {""Nombre"": ""Miguel Estrella"", ""Cargo"": ""Productor de los Fans Choice Awards┬«, Showcase┬« y el Dia del Fan┬«, mas de 40 anos en la industria del entretenimiento y los medios de comunicacion."", ""Foto"": ""https://media.licdn.com/dms/image/v2/D4E03AQHXAxWIWdoxJg/profile-displayphoto-shrink_100_100/B4EZW7ozVLGgAY-/0/1742609797055?e=2147483647&v=beta&t=vYe60uJq_h0nGUkSxSXZnHoc7c3IbYMj1ULDQCvjW7k"", ""Perfil"": ""https://mx.linkedin.com/in/miguelestrellaoficial?trk=org-employees""}]","https://www.linkedin.com/company/d%C3%ADadelfan/"
25598,"ALFARERIA TRADICIONAL","ALFARERIA TRADICIONAL 
Mexican Ceramics art handmade Guanajuato Mexico
National Award Arts
table decor gifts art wedding present interior home designs",,"11-50 employees","{""1"": {""Direccion"": ""CALLE PASTITA 0 SN""}}","1985","[""Glass"","" Ceramics and Concrete Manufacturing""]","[""https://gorkygonzalez.com/collections/mexican-pottery-folk-art-majolica-ceramics-hand-painted-gorky-workshop-guanajuato\n      \n\nExternal link for ALFARERIA TRADICIONAL""]","[]","[]","{}","Guanajuato,  Mexico, nan","[{""Nombre"": ""Luis Ricardo Hernandez Soria"", ""Cargo"": ""Production Coordinador & Customer Service at Gorky Pottery"", ""Foto"": ""https://media.licdn.com/dms/image/v2/C4E03AQGDttgoR3XMrw/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1569432989460?e=2147483647&v=beta&t=Zd3pV74RQbZ8l-WOEtp3yOperB7D_6rFb2VPX5VO1oo"", ""Perfil"": ""https://mx.linkedin.com/in/ricardosoria?trk=org-employees""}, {""Nombre"": ""Gorky Gonzalez"", ""Cargo"": ""Gorky Pottery / Alfareria Tradicional\nby Gorky Gonzalez \nworkshop Guanajuato, Mexico\nNational Award arts\nMexican Ceramics handmade art crafts customÔÇª"", ""Foto"": ""https://media.licdn.com/dms/image/v2/D4E03AQGUWYpFQM-HiQ/profile-displayphoto-shrink_200_200/B4EZXPDsLrHgAY-/0/1742935606810?e=2147483647&v=beta&t=c9gzmZAdTGZ5n6SVsLSyKSWVDqoLMxPNAoN0eTpBqmY"", ""Perfil"": ""https://mx.linkedin.com/in/gorky-gonzalez-434327358?trk=org-employees""}]","https://www.linkedin.com/company/alfarer%C3%ADa-tradicional/"
29591,"EO Capitulo Merida","EO es una comunidad global de emprendedores con mas de 19.000 miembros en 62 paises. 

Fundada en EEUU, la organizacion esta estructurada en sedes locales en 195 ciudades.

EO Merida cuenta con mas de 35 empresarios de sectores muy variados unidos por la vocacion de servicio, la integridad, la etica empresarial y el espiritu emprendedor.

Si quieres crecer tanto personal como profesionalmente compartiendo conocimientos y experiencia, asistiendo a eventos privados de alto nivel, te esperamos ..!!",,"1 employee","{""1"": {""Direccion"": ""Merida, 97300, MX""}}",,"[""Social Networking Platforms""]","[""eomerida.org\n      \n\nExternal link for EO Capitulo Merida""]","[""Merida""]","[]","{""1"": ""97300""}","Merida,  Yucatan,  Mexico","[{""Nombre"": ""Maria Jose Rodriguez Rodriguez"", ""Cargo"": ""Licenciada en Comunicacion y Medios Digitales"", ""Foto"": ""https://media.licdn.com/dms/image/v2/D4E03AQE66JICLkEeWA/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1676783438517?e=2147483647&v=beta&t=UcubUeLEeWQiVdaHsz51nq4KNe9dB_c-YGAbC06BDkU"", ""Perfil"": ""https://mx.linkedin.com/in/mar%C3%ADa-jos%C3%A9-rodr%C3%ADguez-rodr%C3%ADguez-comunicaci%C3%B3n?trk=org-employees""}]","https://www.linkedin.com/company/eo-capitulo-merida/"
30911,"Instituto Consorcio Clavijero","Educacion a distancia en linea

Clavijero, en linea contigo",,"1 employee","{}",,"[""Higher Education""]","[""http://www.clavijero.edu.mx\n      \n\n\n\nExternal link for Instituto Consorcio Clavijero""]","[]","[]","{}","Xalapa de Enriquez,  Veracruz de Ignacio de la Llave,  Mexico","[{""Nombre"": ""Lori Kim Owen"", ""Cargo"": ""Coordinacion de programas de idiomas en Instituto Consorcio Clavijero"", ""Foto"": ""https://media.licdn.com/dms/image/v2/C4D03AQGeDXQpwy9_Og/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1517503929430?e=2147483647&v=beta&t=vi5lxnDquit_s2tRY7sONsOk8C4Ka262n-D8HYvhF_4"", ""Perfil"": ""https://mx.linkedin.com/in/lori-kim-owen-91a63928?trk=org-employees""}, {""Nombre"": ""Herson Castellanos"", ""Cargo"": ""Jefe de Departamento en Instituto Consorcio Clavijero"", ""Foto"": ""https://media.licdn.com/dms/image/v2/C4D03AQFaTnq_ADrBcg/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1517514158978?e=2147483647&v=beta&t=AtRuAhJNNNo1mGKKbKRAT8tslHyFxN7MeTWKdVme6V0"", ""Perfil"": ""https://mx.linkedin.com/in/herson-castellanos-14390828?trk=org-employees""}, {""Nombre"": ""Antonio de Jesus Medina Aparicio"", ""Cargo"": ""Disenador Informatico en Instituto Consorcio Clavijero"", ""Foto"": ""https://media.licdn.com/dms/image/v2/C5603AQE9wlUMGNb2xw/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1516481167883?e=2147483647&v=beta&t=bQI-a6HH9u4g2uPvxPTDpslS8fgYWSXa_xB-0DR8Gnw"", ""Perfil"": ""https://mx.linkedin.com/in/antonio-de-jes%C3%BAs-medina-aparicio-5956a531?trk=org-employees""}, {""Nombre"": ""Cesar Casados Mendez"", ""Cargo"": ""Analista E-Learning en Instituto Consorcio Clavijero"", ""Foto"": ""https://media.licdn.com/dms/image/v2/C4E03AQFh60Gzus9MKQ/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1603503771251?e=2147483647&v=beta&t=0SmYtie5d-Maj7qy5nZj8rCzoQWbNTpfAdPqlu-q-Ic"", ""Perfil"": ""https://mx.linkedin.com/in/cesarcasados?trk=org-employees""}]","https://www.linkedin.com/company/instituto-consorcio-clavijero/"
30917,"GALLERY STONE","Somos una empresa especializada en le suministro y colocacion de Piedras Naturales , como lo son Marmol, Granito , Cuarzo , Cantera , transformando espacios ordinarios en experiencias Inigualables .",,"11-50 employees","{""1"": {""Direccion"": ""Avenida Araucarias 116, Xalapa, Veracruz de Ignacio de la Llave 91190, MX""}}","2011","[""Building Materials""]","[""http://www.gallerystone.com.mx\n      \n\nExternal link for GALLERY STONE""]","[""Xalapa, Veracruz de Ignacio de la Llave""]","[]","{""1"": ""91190""}","Xalapa de Enriquez,  Veracruz de Ignacio de la Llave,  Mexico","[{""Nombre"": ""Citlaly G V"", ""Cargo"": ""Asistente personal en GALLERY STONE"", ""Foto"": ""https://media.licdn.com/dms/image/v2/C5603AQHSd-FhaqJC-w/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1517046835256?e=2147483647&v=beta&t=aakja9R1qtdo5a-vdulMDYKCscf3HMdL4mTZVpptXhA"", ""Perfil"": ""https://mx.linkedin.com/in/citlaly-g-v-577339154?trk=org-employees""}, {""Nombre"": ""Raul Navarro Otero"", ""Cargo"": ""Arquitecto"", ""Foto"": ""https://media.licdn.com/dms/image/v2/C4E03AQEsjZZGewaNDA/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1598134550208?e=2147483647&v=beta&t=O9h08KljzRtD0Egf5EL_6rmmQVN1yPxLdFTZBFMzn3o"", ""Perfil"": ""https://mx.linkedin.com/in/raul-navarro-otero-446106162?trk=org-employees""}, {""Nombre"": ""Silvestre Espiritu"", ""Cargo"": ""Auxiliar general en GALLERY STONE"", ""Foto"": ""https://media.licdn.com/dms/image/v2/C4D03AQGe3XjXNePAYQ/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1627426346116?e=2147483647&v=beta&t=TT5QyQ2LwH_aOF15rWupa71RhRw2CixJfAHEswNmSYo"", ""Perfil"": ""https://mx.linkedin.com/in/silvestre-espiritu-a5b504218?trk=org-employees""}, {""Nombre"": ""Rehan Mushtaque"", ""Cargo"": ""Architectural Draftsman and 3ds MAX"", ""Foto"": ""https://media.licdn.com/dms/image/v2/C4E03AQGAeS4kbEMKFA/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1657560358359?e=2147483647&v=beta&t=JSH4S7aUgo0I_atdsvzVCLnCzJOZIF5Yggki4QyWK9U"", ""Perfil"": ""https://ae.linkedin.com/in/rehan-mushtaque-96600b245?trk=org-employees""}]","https://www.linkedin.com/company/gallery-stone/"
30974,"Instituto Consorcio Clavijero","Educacion a distancia en linea

Clavijero, en linea contigo",,"1 employee","{}",,"[""Higher Education""]","[""http://www.clavijero.edu.mx\n      \n\n\n\nExternal link for Instituto Consorcio Clavijero""]","[]","[]","{}","Xalapa de Enriquez,  Veracruz de Ignacio de la Llave,  Mexico","[{""Nombre"": ""Lori Kim Owen"", ""Cargo"": ""Coordinacion de programas de idiomas en Instituto Consorcio Clavijero"", ""Foto"": ""https://media.licdn.com/dms/image/v2/C4D03AQGeDXQpwy9_Og/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1517503929430?e=2147483647&v=beta&t=vi5lxnDquit_s2tRY7sONsOk8C4Ka262n-D8HYvhF_4"", ""Perfil"": ""https://mx.linkedin.com/in/lori-kim-owen-91a63928?trk=org-employees""}, {""Nombre"": ""Herson Castellanos"", ""Cargo"": ""Jefe de Departamento en Instituto Consorcio Clavijero"", ""Foto"": ""https://media.licdn.com/dms/image/v2/C4D03AQFaTnq_ADrBcg/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1517514158978?e=2147483647&v=beta&t=AtRuAhJNNNo1mGKKbKRAT8tslHyFxN7MeTWKdVme6V0"", ""Perfil"": ""https://mx.linkedin.com/in/herson-castellanos-14390828?trk=org-employees""}, {""Nombre"": ""Antonio de Jesus Medina Aparicio"", ""Cargo"": ""Disenador Informatico en Instituto Consorcio Clavijero"", ""Foto"": ""https://media.licdn.com/dms/image/v2/C5603AQE9wlUMGNb2xw/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1516481167883?e=2147483647&v=beta&t=bQI-a6HH9u4g2uPvxPTDpslS8fgYWSXa_xB-0DR8Gnw"", ""Perfil"": ""https://mx.linkedin.com/in/antonio-de-jes%C3%BAs-medina-aparicio-5956a531?trk=org-employees""}, {""Nombre"": ""Cesar Casados Mendez"", ""Cargo"": ""Analista E-Learning en Instituto Consorcio Clavijero"", ""Foto"": ""https://media.licdn.com/dms/image/v2/C4E03AQFh60Gzus9MKQ/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1603503771251?e=2147483647&v=beta&t=0SmYtie5d-Maj7qy5nZj8rCzoQWbNTpfAdPqlu-q-Ic"", ""Perfil"": ""https://mx.linkedin.com/in/cesarcasados?trk=org-employees""}]","https://www.linkedin.com/company/instituto-consorcio-clavijero/"
30985,"Grupo Garest S.A. de C.V.","Somos una empresa mexicana de reciente creacion, estructurada por ingenieros civiles de amplia experiencia en el area de construccion, lo que nos permite proveer de manera eficiente soluciones integrales.",,"11-50 employees","{""1"": {""Direccion"": ""CANOVAS 5, CENTRO, XALAPA, VERACRUZ 91000, MX""}}","2019","[""Construction""]","[""https://grupogarest.negocio.site/\n      \n\nExternal link for Grupo Garest S.A. de C.V.""]","[""XALAPA, VERACRUZ""]","[]","{""1"": ""91000""}","Xalapa de Enriquez,  Veracruz de Ignacio de la Llave,  Mexico","[{""Nombre"": ""Victor Hugo O."", ""Cargo"": ""Universidad Ives"", ""Foto"": ""https://media.licdn.com/dms/image/v2/D5603AQH2BfX_dDjn7g/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1673899406269?e=2147483647&v=beta&t=0R_tj_4_1XqukjXNwN8vf-ZNAnWNSSU3GTD8WFF87w4"", ""Perfil"": ""https://mx.linkedin.com/in/victor-hugo-o-209070126?trk=org-employees""}, {""Nombre"": ""Aldo Espinoza"", ""Cargo"": ""Ingeniero Civil / Gestion del Agua"", ""Foto"": ""https://media.licdn.com/dms/image/v2/D5603AQFH5cEbLn4h3Q/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1729401133237?e=2147483647&v=beta&t=G6EZK4xNO5Ch-ay51s5pMRh-qhiT78naJqPX1rOnXV4"", ""Perfil"": ""https://mx.linkedin.com/in/aldo-espinoza-3bb554178?trk=org-employees""}, {""Nombre"": ""Jose Roberto Gallardo Castaneda"", ""Cargo"": ""Socio Fundador en Grupo Garest S.A. de C.V."", ""Foto"": ""https://media.licdn.com/dms/image/v2/C4E03AQEiWceF7kcbuw/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1646172857932?e=2147483647&v=beta&t=_Iwbpwr1s4E-uhNZjNpFVoBZDnYGK4XnYosjoQU6y98"", ""Perfil"": ""https://mx.linkedin.com/in/jos%C3%A9-roberto-gallardo-casta%C3%B1eda-98b288180?trk=org-employees""}, {""Nombre"": ""Jorge Rafael Sanchez Martinez"", ""Cargo"": ""Arquitecto"", ""Foto"": ""https://media.licdn.com/dms/image/v2/D5603AQH-K804YeF2aA/profile-displayphoto-shrink_100_100/B56ZTxwfmnHoAY-/0/1739222809405?e=2147483647&v=beta&t=rpjiHQRXac9Y5e6voqPUB_Lw2QrncVYSCydgjzVo-is"", ""Perfil"": ""https://mx.linkedin.com/in/jorge-rafael-s%C3%A1nchez-mart%C3%ADnez-705a891b6?trk=org-employees""}]","https://www.linkedin.com/company/grupogarest/"
30986,"Construcciones y Desarrollo Macon SA de CV","Obra civil, industrial, electromecanica y residencial. Elaboracion de proyectos hidraulicos, tratamiento de aguas residuales.....",,"11-50 employees","{""1"": {""Direccion"": ""Calle Carlos R. Smith No. 57 Int \"", Col. Campestre, Xalapa, Veracruz 91098, MX""}}","2005","[""Construction""]","[""http://www.constructoramacon.com\n      \n\nExternal link for Construcciones y Desarrollo Macon SA de CV""]","[""Xalapa, Veracruz""]","[""Tratamiento de aguas residuales"","" Arrendamiento de maquinaria pesada"","" Todo tipo de obra civil"","" and Elaboracion de proyectos""]","{""1"": ""91098""}","Xalapa de Enriquez,  Veracruz de Ignacio de la Llave,  Mexico","[{""Nombre"": ""Jose Antonio Moran"", ""Cargo"": ""Analista de Costos,  Residente de Obra; Desarrollador Jr Kotlin Android"", ""Foto"": ""https://media.licdn.com/dms/image/v2/D5603AQFujEpLVQzwFA/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1723846777985?e=2147483647&v=beta&t=6POIIiIwcxElg9TWqH-6QFfoWSi_vwviMCm584KHqtA"", ""Perfil"": ""https://mx.linkedin.com/in/jose-antonio-moran-68055229?trk=org-employees""}, {""Nombre"": ""Yessica Ruiz"", ""Cargo"": ""Contador Publico"", ""Foto"": ""https://media.licdn.com/dms/image/v2/C4E03AQEpe3x3hMSqcQ/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1647269965952?e=2147483647&v=beta&t=_OlTEH7xC2Lzilo3PYzQiu4yoV4L54ydNW1N2tAybSA"", ""Perfil"": ""https://ar.linkedin.com/in/yessica-ruiz-duerto?trk=org-employees""}, {""Nombre"": ""Ing. Adan Mancilla Avendano"", ""Cargo"": ""Director General"", ""Foto"": ""https://media.licdn.com/dms/image/v2/C4E03AQFcfseiyFT_GA/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1516531951888?e=2147483647&v=beta&t=OidmJvllBXfi8Gqxwk3wde9s3CJ2HtZM4dJeaVJbJcQ"", ""Perfil"": ""https://mx.linkedin.com/in/ing-adan-mancilla-avenda%C3%B1o-01475874?trk=org-employees""}, {""Nombre"": ""Daniela Zacaro Niebles"", ""Cargo"": ""Administrador De Negocios Internacionales"", ""Foto"": ""https://media.licdn.com/dms/image/v2/D4E03AQEJeScH0AV_XQ/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1700672132858?e=2147483647&v=beta&t=BnFN1kk4I_mgmBI3L1cDgWO31NmdkK4Xy03mKMduWfY"", ""Perfil"": ""https://co.linkedin.com/in/daniela-zacaro-niebles-563209ab?trk=org-employees""}]","https://www.linkedin.com/company/construcciones-y-desarrollo-macon-sa-de-cv/"
