id ×,Nombre ×,Resumen ×,Telefono ×,Tamano ×,Ubicacion ×,Sector ×,Sede ×,Codigo_postal ×,Ciudad ×
4,Tecnologico de Estudios Superiores de Ecatepec,"El Tecnológico de Estudios Superiores de Ecatepec (TESE), es un Organismo Público Descentralizado del Estado de México, ubicado en el Municipio de Eca...",,501-1000 empleados,"Principal
Av. Tecnológico s/n, Valle de Anahuac, Ecatepec 55210, MX",Enseñanza superior,"Valle de Anahuac, Ecatepec",55210,Ecatepec
6,salauno,"Contact: 
+52 55 8930 7758 / www.salauno.com.mx / contactanos@salauno.com.mx

--

Founded in 2011 by renowned entrepreneurs with the mission to Elimin...",5589307758,51-200 empleados,"Principal
salauno Hamburgo
Calle Hamburgo 115, Juárez, Ciudad de México 06600, MX, salauno Narvarte
Avenida Doctor José María Vertiz 810, Benito Juárez, Ciudad de México 03020, MX, salauno Coyoacán
Avenida Miguel Ángel de Quevedo 550, Coyoacán, Ciudad de México 04000, MX, salauno Buenavista
Avenida José Antonio Alzate 6, Cuauhtémoc, Ciudad de México 06400, MX, salauno Roma Norte
Calle Mérida 204, Cuauhtémoc, Ciudad de México 06700, MX, salauno Tezontle Iztapalapa
Calle Paraderos, Iztapalapa, Ciudad de México 09040, MX, salauno La Villa
Calzada de los Misterios 142, Tepeyac Insurgentes, Ciudad de México 07020, MX, salauno La Joya - Tlalpan
Calzada de Tlalpan 5037, Tlalpan, Ciudad de México 14000, MX, salauno Acoxpa - Tlalpan
Calzada Acoxpa 559, Tlalpan, Ciudad de México 14350, MX, salauno Xochimilco
Plaza Manantiales PB, camino a Nativitas 35, Xochimilco, Ciudad de México 16090, MX, salauno Cuautitlán
Juan Pablo II S/N, teyahualco, Santa Elena, Cuautitlán 54850, MX, salauno Texcoco
Calle Leandro Valle 104-MZ 021, Texcoco de Mora, Edo. de México 56150, MX, salauno Los Reyes La Paz
Carretera Federal México-Puebla km. 17.5, Acaquilpan, Estado de México 56400, MX, salauno Chalco
Avenida Cuauhtémoc 45, Chalco, Estado de México 56604, MX, salauno Chimalhuacán
Francisco Modesto Mz. 509 Lt. 26, Chimalhuacán, Estado de México 56366, MX, salauno Ecatepec
Vía Morelos 68, Ecatepec de Morelos, Estado de México 55040, MX, salauno Aragón Avenida Central
Avenida Central 339, Nezahualcoyotl, Estado de México 57170, MX, salauno Neza
Av López Mateos 168, Nezahualcóyotl, Estado de México 57730, MX, salauno Tecámac
Carretera Federal Pachuca - Mexico km 36.5, Hueyotenco, San Martín Azcatepec, Méx., Estado de México 55749, MX, salauno Tlalnepantla
Avenida Hidalgo 37a, Tlanepantla de Baz, Estado de México 54000, MX, salauno Satélite
Circuito Médicos 24, Naucalpan de Juárez, México 53100, MX",Hospitales y atención sanitaria,"Juárez, Ciudad de México",06600,Ecatepec
8,SPAN Digital Innovation,"SPAN is a technical strategy and software engineering firm. We conceptualize, develop, and deploy successful SaaS solutions. We synthesize insights fr...",+1 (415) 484 9269,51-200 empleados,,Desarrollo de software,"San Francisco, CA",,Ecatepec
9,Universidad Privada del Estado de México (UPEM),"La UPEM es fundada en el año 2000 como Centro Universitario Privado del Estado de México, en el municipio mexiquense de Ecatepec. Posteriormente se ab...",+52(155)57704218,501-1000 empleados,"Principal
Avenida Revolución 46 Colonia San Cristobal Centro, Ecatepec, Estado de México 55000, MX",Enseñanza superior,,55000,Ecatepec
10,Universidad de Ecatepec,Educar por respeto al ser,15557700633,51-200 empleados,"Principal
Agricultura No. 16, San Cristobal Ecatepec, State of Mexico 55000, MX, San Cristóbal
Estado de mexico, Estado de Mexico MX",Enseñanza superior,,55000,Ecatepec
13,Almexa Aluminio,"ALMEXA, S.A. DE C.V. es el resultado de la fusión entre las dos empresas más importantes de la industria del aluminio en México: Almexa Aluminio, S.A ...",,501-1000 empleados,"Principal
Planta Tulpetlac
Vía Morelos 347 Santa María Tulpetlac,., México, Ecatepec de Morelos, México 55400, MX, Planta Cuautitlán
Benjamín Franklin No.9. Parque Industrial la Joya, México, Cuautitlán Izcalli, Estado de México 54730, MX",Minería,"México, Ecatepec de Morelos, México",55400,Ecatepec
15,Universidad Estatal del Valle de Ecatepec,"Universidad Estatal del Valle de Ecatepec is an enseñanza superior company based out of State of Mexico, Mexico....",01(55)50011400,11-50 empleados,"Principal
Av. Central s/n, Esq. Leona Vicario, Col. Valle de Anáhuac, Secc. 'A', State of Mexico 55210, MX, MX",Enseñanza superior,,55210,Ecatepec
16,Podemos Progresar,"¡Somos una Tribu!

En Podemos Progresar, trabajamos con un propósito claro: transformar vidas. Como un equipo mexicano con más de 15 años de trayector...",+52(55) 1668 2585,501-1000 empleados,"Principal
Podemos Progresar
Blvd Manuel Avila Camacho #2258, Piso 2, Ciudad Satélite, Estado de México 53100, MX, Gustavo A. Madero
Puerto de Mazatlán 23, Local 1, Casas Alemán, Distrito Federal 07580, MX, Ecatepec
Cerezo 1, Boulevares Impala, Ecatepec, Estado de México 55000, MX, Tlalnepantla de Baz
Berriozabal #80 Colonia San Javier, Tlalnepantla de Baz, Estado de México C.P, 54030, Estado de México, Estado de México 54030, MX, Tepotzotlán, Edo. de Méx.
Avenida Insurgentes 26, Texcacoa, Tlacateco, Tepotzotlán, Méx. C.P. 54626, en Plaza Guadalupana, Estado de México, Estado de México 54626, MX, Huixquilucan
Av. México 110, Dos Ríos Huixquilucan de Degollado, Méx. C.P. 52790 Tels. (55) 28 3744 19, Huixquilucan, Estado de México 52790, MX, Ixtapaluca
Calle Nicolas Bravo #3, colonia San Antonio Tlalpizahuac, Ixtapaluca. CP: 56560 Tel. (55) 90 8792 58, Ixtapaluca, Estado de México 56560, MX, Nezahualcóyotl
Av. Sor Juana Inés 222, Col. Metropolitana 2da sección, Neza. CP: 5700 Tel. (55) 31 11 67 60, Nezahualcóyotl, Estado de México 57000, MX, Nicolás Romero
Av. Hidalgo #44, Colonia Hidalgo 1a y 2a Sección, Nicolás Romero, Estado de México C.P, 54413, Planta baja, Estado de México, México 54413, MX, Romero Rubio
Av. 20 de Noviembre #228, Local 8, Col. Centro Cuautitlán de Romero Rubio, Estado de México C.P, 54880, Local 8, Estado de México, México 54880, MX, Naucalpan
Gustavo Baz #98, Naucalpan de Juárez, Gustavo Baz #98, Esquina con Alce Blanco Naucalpan de Juárez, Estado de México, Estado de México, México 53370, MX, Tultitlán
Av. López Portillo #61, Colonia San Francisco Chilpan, Entre Francisco Villa y Mariano Escobedo, Tultitlán, Estado de México, 61, Estado de México, México 54944, MX, Atizapán, México
Avenida Ignacio Zaragoza 9, Segundo Piso, Industrial Atizapán, México 52900, MX",Servicios financieros,"Ciudad Satélite, Estado de México",53100,Ecatepec
20,VESMOR VENTILACIÓN Y MANTENIMIENTO INDUSTRIAL S. DE R.L. DE C.V.,"Nos dedicamos a fabricar, instalar, reparar, balancear y dar mantenimiento correctivo y preventivo a todo tipo de ventiladores, como:

- Ventiladores ...",5526174652,11-50 empleados,"Principal
Gob. Gral Fernando Gonzalez No.56, Granjas Valle de Guadalupe, Ecatepec de Morelos, Méx.
Gob. Gral Fernando Gonzalez No. 56, Granjas Valle de Guadalupe, Ecatepec de Morelos, Méx., Estado de México, Estado de México 55270, MX",Construcción,"Estado de México, Estado de México",55270,Ecatepec
21,Mexalit,"Hidalgo 180, Santa Clara Coatitla, 55540 Ecatepec de Morelos, Méx.",,201-500 empleados,"Principal
Ecatepec de Morelos, MX",Construcción,,,Ecatepec
