id ×,Nombre ×,Resumen ×,Telefono ×,Tamano ×,Ubicacion ×,Sector ×,Sede ×,Codigo_postal ×,Ciudad ×
6,salauno,"Contact: 
+52 55 8930 7758 / www.salauno.com.mx / contactanos@salauno.com.mx

--

Founded in 2011 by renowned entrepreneurs with the mission to Elimin...",5589307758,51-200 empleados,"Principal
salauno Hamburgo
Calle Hamburgo 115, Juárez, Ciudad de México 06600, MX, salauno Narvarte
Avenida Doctor José María Vertiz 810, Benito Juárez, Ciudad de México 03020, MX, salauno Coyoacán
Avenida Miguel Ángel de Quevedo 550, Coyoacán, Ciudad de México 04000, MX, salauno Buenavista
Avenida José Antonio Alzate 6, Cuauhtémoc, Ciudad de México 06400, MX, salauno Roma Norte
Calle Mérida 204, Cuauhtémoc, Ciudad de México 06700, MX, salauno Tezontle Iztapalapa
Calle Paraderos, Iztapalapa, Ciudad de México 09040, MX, salauno La Villa
Calzada de los Misterios 142, Tepeyac Insurgentes, Ciudad de México 07020, MX, salauno La Joya - Tlalpan
Calzada de Tlalpan 5037, Tlalpan, Ciudad de México 14000, MX, salauno Acoxpa - Tlalpan
Calzada Acoxpa 559, Tlalpan, Ciudad de México 14350, MX, salauno Xochimilco
Plaza Manantiales PB, camino a Nativitas 35, Xochimilco, Ciudad de México 16090, MX, salauno Cuautitlán
Juan Pablo II S/N, teyahualco, Santa Elena, Cuautitlán 54850, MX, salauno Texcoco
Calle Leandro Valle 104-MZ 021, Texcoco de Mora, Edo. de México 56150, MX, salauno Los Reyes La Paz
Carretera Federal México-Puebla km. 17.5, Acaquilpan, Estado de México 56400, MX, salauno Chalco
Avenida Cuauhtémoc 45, Chalco, Estado de México 56604, MX, salauno Chimalhuacán
Francisco Modesto Mz. 509 Lt. 26, Chimalhuacán, Estado de México 56366, MX, salauno Ecatepec
Vía Morelos 68, Ecatepec de Morelos, Estado de México 55040, MX, salauno Aragón Avenida Central
Avenida Central 339, Nezahualcoyotl, Estado de México 57170, MX, salauno Neza
Av López Mateos 168, Nezahualcóyotl, Estado de México 57730, MX, salauno Tecámac
Carretera Federal Pachuca - Mexico km 36.5, Hueyotenco, San Martín Azcatepec, Méx., Estado de México 55749, MX, salauno Tlalnepantla
Avenida Hidalgo 37a, Tlanepantla de Baz, Estado de México 54000, MX, salauno Satélite
Circuito Médicos 24, Naucalpan de Juárez, México 53100, MX",Hospitales y atención sanitaria,"Juárez, Ciudad de México",06600,Ecatepec
8,SPAN Digital Innovation,"SPAN is a technical strategy and software engineering firm. We conceptualize, develop, and deploy successful SaaS solutions. We synthesize insights fr...",+1 (415) 484 9269,51-200 empleados,,Desarrollo de software,"San Francisco, CA",,Ecatepec
10,Universidad de Ecatepec,Educar por respeto al ser,15557700633,51-200 empleados,"Principal
Agricultura No. 16, San Cristobal Ecatepec, State of Mexico 55000, MX, San Cristóbal
Estado de mexico, Estado de Mexico MX",Enseñanza superior,,55000,Ecatepec
21,Mexalit,"Hidalgo 180, Santa Clara Coatitla, 55540 Ecatepec de Morelos, Méx.",,201-500 empleados,"Principal
Ecatepec de Morelos, MX",Construcción,,,Ecatepec
24,Principado,"En Principado, ayudamos a empresas de cualquier tamaño a ser más eficientes en sus procesos de compras indirectas, estar conectadas y tener al alcance...",,51-200 empleados,"Principal
Matriz(Principal)
Avenida Tláhuac 84a, Iztapalapa, Ciudad de México 09820, MX, AV TLAHUAC 84-A, Iztapalapa, Ciudad De México 09820, MX, Vía Morelos 378, Ecatepec de Morelos, México 55540, MX",Comercio al por menor de equipos de oficina,"Iztapalapa, Ciudad de México",09820,Ecatepec
27,CUBASA México,"Somos una empresa mexicana, con más de 60 años de experiencia, especializada en la inyección de plástico. 

Nuestro principal objetivo es ofrecer prod...",+52 (55) 5569 1222,51-200 empleados,"Principal
https://goo.gl/maps/MsyhnLLs3rk
Calle José Ramón Albarrán 55310, 100, Col Cuauhtémoc Xalostoc, México 55310, MX",Fabricación de productos de plástico,"Col Cuauhtémoc Xalostoc, México",55310,Ecatepec
28,Blindajes Global Armor México,"Somos expertos en servicio y asesoría en blindaje de autos para particulares, corporativos y gobierno. 

Cubrimos necesidades de protección específica...",,51-200 empleados,"Principal
Oficinas, showroom y taller de servicio Contadero
Carretera México-Toluca 5780, Cuajimalpa de Morelos, Ciudad de México 05500, MX, Planta Ecatepec
La Viga 219, Ecatepec, Estado de Mexico 55090, MX",Sector automovilístico,"Cuajimalpa de Morelos, Ciudad de México",05500,Ecatepec
29,LINEAS,"Empresa líder en venta de ropa accesible en México, para mujeres de entre 13 y 62 años ofreciendo ropa y servicio de alta calidad, manteniendo al clie...",,201-500 empleados,"Principal
ALLENDE
Tacuba 76 Col. Centro Del. Cuauhtemoc C.P. 06000, México D.F. - Zona Centro, Tienda Allende, CDMX, CDMX 06000, MX, SANTIN
carretera Toluca Naucalpan 1101 27-a y 28-a col. san mateo, Atzacatipan, Toluca C.P. 50200, Estado de México, SANTIN, Toluca, Estado de México, Toluca, Estado de México 50200, MX, EL CAMBIO
Americas Veracruz Av. Ruiz Cortinez no 3495, Col. Centro Plaza Américas loc. 60, Municipio Boca del Rio C.P. 94299, Veracruz, EL CAMBIO, Boca del Rio, Veracruz, Boca del Rio, Veracruz 94299, MX, LA CAMPECHANA
CENTRO COMERCIAL GALERIAS CAMPECHE - AV. PEDRO SAENZ DE BARRADO S/N ESQUINA AVENIDA DARSENA No. 245 C.P. 24020, Campeche, LA CAMPECHANA, Campeche, Campeche 24020, MX, CAMPECHE
CALLE 53 No. 13 POR 10, COL. CENTRO HISTÓRICO C.P. 24000, Campeche, CAMPECHE, Campeche, Campeche 24000, MX, FORTUNA
Av. Fortuna Eje 4 Norte No. 334, Int. 3, Col. Magdalena de las Salinas, Gustavo A. Madero C.P. 07370, CDMX, FORTUNA, CDMX, CDMX 07370, MX, INDEPENDENCIA
MELCHOR OCAMPO No. 171, ESQ. INDEPENDENCIA, COL. CENTRO, VERACRUZ ENTRE FRANCISCO CANAL Y GRAL PRIM C.P. 91700, Veracruz, INDEPENDENCIA, CENTRO, VERACRUZ, CENTRO, VERACRUZ 91700, MX, COATZACOALCOS
Calle Juárez # 308 Loc. C, Col. Centro, Coatzacoalcos C.P. 96400, Veracruz, COATZACOALCOS, Coatzacoalcos, Veracruz, Coatzacoalcos, Veracruz 96400, MX, CUAUTLA
Los bravos no. 25 entre Miguel Ramirez y Efren m. Tavera. col. Cuatla centro C.P. 62740, Morelos, CUAUTLA, Cuautla , Morelos, Cuautla , Morelos 62740, MX, CUERNAVACA
Vicente Guerrero no. 19 loc. d col. Cuernavaca centro, C.P. 62000, Cuernavaca Morelos, CUERNAVACA, Cuernavaca Morelos, Cuernavaca Morelos 62000, MX, ARAGON
Plaza Aragon - av central, 120 loc c 194, Ciudad azteca, 3ra secc, Ecatepec C.P. 55120, Estado de México, ARAGON, Ecatepec, Estado de México, Ecatepec, Estado de México 55120, MX, LA META
Centro Comercial Cosmopol Vía José López Portillo #1 San Francisco Coacalco Coacalco de Berriozabal C.P. 55700, Estado de México, LA META, Estado de México, Estado de México 55700, MX, ZUMPANGO
Carretera Zumpango Los Reyes Acozac No. 2000, Col. Buenavista, Zumpango C.P. 55600, Estado de México, ZUMPANGO, Zumpango, Estado de México 55600, MX, CENTRO MAX BAJÍO
Blvd. Adolfo López Mateos Ote, número 2518, Col. Jardines de Jerez, León C.P. 37530, Guanajuato, Tienda Centro Max , Guanajuato, Guanajuato 37530, MX, SENDERO
Plaza Sendero Toluca - av. paseo tollocÁn y boulevard aeropuerto, corredor industrial loc-23 anexo c, municipio de lerma C.P. 52000, Estado de México, SENDERO, Lerma, Estado de México, Lerma, Estado de México 52000, MX, LA ESPALDA
CALLE 63 No. 486 B ENTRE 56 Y 58, COL. CENTRO, MÉRIDA C.P. 97000, Yucatán, LA ESPALDA, MÉRIDA Yucatán, MÉRIDA Yucatán 97000, MX, EL MERCADO
CALLE 65 No. 466 LOC. A ENTRE 54 Y 56, COL. CENTRO, MÉRIDA C.P. 97000, Yucatán, EL MERCADO, MÉRIDA Yucatán, MÉRIDA Yucatán 97000, MX, MERIDA LAS AMERICAS
PLAZA LAS AMERICAS - CALLE 21 #327 INT. E 05-06, COL. MIGUEL HIDALGO, MÉRIDA C.P. 97229, Yucatán, MERIDA LAS AMERICAS, MÉRIDA Yucatán, MÉRIDA Yucatán 97229, MX, GRAN PLAZA
PLAZA GRAN PLAZA - CALLE 75 #196 INT 228 A, MONTES D AME, MÉRIDA C.P. 97115, Yucatán, GRAN PLAZA, MÉRIDA Yucatán, MÉRIDA Yucatán 97115, MX, MERIDA
CALLE 60 NO. 508, COL. CENTRO, ENTRE 63A Y 65, MÉRIDA C.P. 97000, Yucatán, MERIDA, MÉRIDA Yucatán, MÉRIDA Yucatán 97000, MX, LA ESQUINA
CALLE 58 #530 B-1 COL. CENTRO, ENTRE 63A Y 65, MÉRIDA C.P. 97000, Yucatán, LA ESQUINA, MÉRIDA Yucatán, MÉRIDA Yucatán 97000, MX, LA L
Reforma # 338 Col. Centro. C.P. 72000, Puebla, LA L, Puebla, Puebla 72000, MX, PUEBLA
CALLE 5 DE MAYO No. 205, COL. CENTRO C.P. 72000, Puebla, PUEBLA, PUEBLA, PUEBLA 72000, MX, TULUM
AV TULUM SP MZ 63 MZ 5 LOTE 9 ENTRE 2 Y 6, CANCÚN C.P. 77504, Quintana Roo, TULUM, Quintana Roo, Quintana Roo 77504, MX, CANCÚN
PLAZA LAS AMERICAS - SUPER MZ 7 MZ 9 LOC. 17, MUNICIPO BENITO JUÁREZ, CANCÚN C.P. 77500, Quintana Roo, CANCÚN, Quintana Roo, Quintana Roo 77500, MX, GUSTAVO BAZ
Centro Comercial Carso Tlalnepantla Sor Juana Ines de la Cruz No. 280 Col. San Lorenzo, GUSTAVO BAZ, Tlalnepantla de Baz, Tlalnepantla de Baz 54033, MX, LAS VEGAS
Calle Mariano Matamoros No. 100-A TOLUCA C.P. 51760, Estado de México, LAS VEGAS, TOLUCA, Estado de México, TOLUCA, Estado de México 51760, MX, LA GUTIERREZ
1era. Poniente Sur No. 272 A, entre 1era Sur Poniente y 2da. Sur Poniente, Col. Centro, Tuxtla Gutiérrez C.P. 29000, Chiapas, LA GUTIERREZ, Tuxtla Gutiérrez, Tuxtla Gutiérrez 29000, MX, TUXTLA
Plaza Galerias Boulevard - Boulevard Belisario Domínguez # 1861 Loc E6 y E7, Tuxtla Gutiérrez C.P. 29056, Chiapas, TUXTLA, Tuxtla Gutiérrez Chiapas, Tuxtla Gutiérrez Chiapas 29056, MX, VERACRUZ CENTRO
Calle independencia no. 1443 entre Esteban Morales y Mariano Arista col. centro C.P. 91700, Veracruz, VERACRUZ CENTRO, Veracruz, Veracruz 91700, MX, VILLA II
PLAZA LAS AMERICAS, AV. RAMON MENDOZA 102, LOC. 7 COL TIERRA COLORADO, VILLAHERMOSA C.P. 860029, Tabasco, VILLA II, VILLAHERMOSA Tabasco, VILLAHERMOSA Tabasco 860029, MX, VILLA CENTRO
CALLE JUÁREZ #423 ENTRE LERDO Y ZARAGOZA, COL. CENTRO VILLAHERMOSA C.P. 86000, Tabasco, VILLA CENTRO, VILLAHERMOSA Tabasco, VILLAHERMOSA Tabasco 86000, MX, XALAPA CENTRO
Dr. Rafael Lucio 21 loc-23 entre Juan de la luz Enriquez y Benito Juarez. col. centro, XALAPA C.P. 91000, Veracruz, XALAPA CENTRO, XALAPA Veracruz, XALAPA Veracruz 91000, MX, XALAPA
PLAZA CRYSTAL - CALLE LAZARO CARDENAS S/N LOC 7 Y 8 D, COL. ENCINAL, XALAPA C.P. 91180, Veracruz, XALAPA, XALAPA Veracruz, XALAPA Veracruz 91180, MX",Comercio al por menor de prendas de vestir y moda,"CDMX, CDMX",06000,Ecatepec
34,Grupo Xtra,"Somos una empresa con más de 20 años de experiencia y con una sólida presencia en las principales ciudades de la República Mexicana (Guadalajara, Ciud...",,201-500 empleados,"Principal
Reforma 215
Paseo de la Reforma 215, Lomas de Chapultepec, Distrito Federal 11000, MX, Puerta Condesa
Avenida Insurgentes Sur, 453, Condesa, Ciudad de México 06100, MX, Plaza Cuajimalpa
José María Castorena, 425, Cuajimalpa, Ciudad de México 5000, MX, Pabellón Azcapotzalco
Avenida Aquiles Serdán 400, Barrio Nextengo, Distrito Federal 02070, MX, Magna Residencial
Carretera México-Toluca, Ciudad de México, Distrito Federal 05000, MX, Pabellón Ecatepec
Via Morelos, 351-A, Ecatepec, Estado de México 55425, MX",Alquiler de bienes inmuebles no residenciales,"Lomas de Chapultepec, Distrito Federal",11000,Ecatepec
39,IPESA PINTURAS.,"NUESTRA VISIÓN ES DE COLORES
Somos una empresa 100% Mexicana con más de 52 años de experiencia en la fabricación, comercialización y distribución de p...",5555691855,201-500 empleados,"Principal
Sede
Calle 8 No. 75 Rustica Xalostoc , Ecatepec de Morelos, México MX",Industria manufacturera,"Ecatepec de Morelos, México",,Ecatepec
