id ×,Nombre ×,Resumen ×,Telefono ×,Tamano ×,Ubicacion ×,Sector ×,Sede ×,Codigo_postal ×,Ciudad ×
1,Archroma,"Archroma. Life enhanced. 

Archroma is a global, diversified provider of specialty chemicals serving the branded and performance textiles, packaging a...",,1001-5000 empleados,,Fabricación de productos químicos,"Pratteln, Basel-Landschaft",,Ecatepec
2,Universidad Tecnológica de México,Somos una universidad con más de 55 años de experiencia educativa y más de 200 mil egresados. Nuestra misión: generar y ofrecer servicios educativos e...,8007864832,1001-5000 empleados,,Enseñanza superior,"Col. La Ermita Atizapán de Zaragoza, Ciudad de México",,Ecatepec
3,La Costeña,"Empresa 100% mexicana con un legado de sabor, calidad e innovación en la industria alimentaria. Durante décadas, hemos nutrido los hogares de México y...",8002678362,1001-5000 empleados,"Principal
Ecatepec, Estado de México, Estado de México 55400, MX, Estado de México MX",Servicios de alimentos y bebidas,"Ecatepec, Estado de México, Estado de México",55400,Ecatepec
4,Tecnologico de Estudios Superiores de Ecatepec,"El Tecnológico de Estudios Superiores de Ecatepec (TESE), es un Organismo Público Descentralizado del Estado de México, ubicado en el Municipio de Eca...",,501-1000 empleados,"Principal
Av. Tecnológico s/n, Valle de Anahuac, Ecatepec 55210, MX",Enseñanza superior,"Valle de Anahuac, Ecatepec",55210,Ecatepec
5,Universidad ICEL,"Más de 30 años formando profesionales, estudia ahora en Universidad ICEL y construye el futuro que tanto quieres....",5553509100,1001-5000 empleados,"Principal
Campus Zona Rosa
Liverpool No. 24, Col. Juárez, Cuauhtémoc., Ciudad de México, 06600, MX, Campus Zaragoza
Av. Texcoco No. 1532, Col. Santa Martha Acatitla, Iztapalapa, CDMX 09510, MX, Campus Tlalpan
Calz. de Tlalpan No. 2754, Col. Prados Coyoacán, Coyoacán, Ciudad de México 04810, MX, Campus La Villa
Av. Cantera No. 16, Col. Estanzuela, Gustavo A. Madero, Ciudad de México 07060, MX, Campus Coacalco
Av. Morelos Núm. 43 , Col. Zacuautitla, Coacalco de Berriozábal, Estado de México 55730 , MX, Campus Cuatitlán Izcalli
Av. Vidrio No. 11, Col. Centro Urbano, Cuautitlán Izcalli, Estado de México 54760, MX, Campus Ecatepec
Av. Carlos Hank González No. 67, Col. Olímpica 68,, Ecatepec de Morelos,, Estado de México 55130, MX, Campus Ermita
Av. Ermita Iztapalapa No.1907, Col. Los Ángeles, Iztapalapa, Estado de México 09710, MX, Campus Lomas Verdes
Huizache No. 16, Col. Santiago Occipaco, Naucalpan de Juárez, Estado de México 53250, MX, Campus Cuernavaca
Av. Teopanzolco No. 1101, Col. Recursos Hidráulicos, Cuernavaca, Morelos 62260, MX",Enseñanza superior,,06600,Ecatepec
6,salauno,"Contact: 
+52 55 8930 7758 / www.salauno.com.mx / contactanos@salauno.com.mx

--

Founded in 2011 by renowned entrepreneurs with the mission to Elimin...",5589307758,51-200 empleados,"Principal
salauno Hamburgo
Calle Hamburgo 115, Juárez, Ciudad de México 06600, MX, salauno Narvarte
Avenida Doctor José María Vertiz 810, Benito Juárez, Ciudad de México 03020, MX, salauno Coyoacán
Avenida Miguel Ángel de Quevedo 550, Coyoacán, Ciudad de México 04000, MX, salauno Buenavista
Avenida José Antonio Alzate 6, Cuauhtémoc, Ciudad de México 06400, MX, salauno Roma Norte
Calle Mérida 204, Cuauhtémoc, Ciudad de México 06700, MX, salauno Tezontle Iztapalapa
Calle Paraderos, Iztapalapa, Ciudad de México 09040, MX, salauno La Villa
Calzada de los Misterios 142, Tepeyac Insurgentes, Ciudad de México 07020, MX, salauno La Joya - Tlalpan
Calzada de Tlalpan 5037, Tlalpan, Ciudad de México 14000, MX, salauno Acoxpa - Tlalpan
Calzada Acoxpa 559, Tlalpan, Ciudad de México 14350, MX, salauno Xochimilco
Plaza Manantiales PB, camino a Nativitas 35, Xochimilco, Ciudad de México 16090, MX, salauno Cuautitlán
Juan Pablo II S/N, teyahualco, Santa Elena, Cuautitlán 54850, MX, salauno Texcoco
Calle Leandro Valle 104-MZ 021, Texcoco de Mora, Edo. de México 56150, MX, salauno Los Reyes La Paz
Carretera Federal México-Puebla km. 17.5, Acaquilpan, Estado de México 56400, MX, salauno Chalco
Avenida Cuauhtémoc 45, Chalco, Estado de México 56604, MX, salauno Chimalhuacán
Francisco Modesto Mz. 509 Lt. 26, Chimalhuacán, Estado de México 56366, MX, salauno Ecatepec
Vía Morelos 68, Ecatepec de Morelos, Estado de México 55040, MX, salauno Aragón Avenida Central
Avenida Central 339, Nezahualcoyotl, Estado de México 57170, MX, salauno Neza
Av López Mateos 168, Nezahualcóyotl, Estado de México 57730, MX, salauno Tecámac
Carretera Federal Pachuca - Mexico km 36.5, Hueyotenco, San Martín Azcatepec, Méx., Estado de México 55749, MX, salauno Tlalnepantla
Avenida Hidalgo 37a, Tlanepantla de Baz, Estado de México 54000, MX, salauno Satélite
Circuito Médicos 24, Naucalpan de Juárez, México 53100, MX",Hospitales y atención sanitaria,"Juárez, Ciudad de México",06600,Ecatepec
7,"FABRICA DE JABON LA CORONA, S.A. DE C.V.","FABRICA DE JABON LA CORONA SA DE CV is a food production company based out of Ecatepec De Morelos, Mexico....",(55) 5747 4545,1001-5000 empleados,"Principal
Carlos B. Zetina No. 80 Parque Industrial Xalostoc 55348. Ecatepec de Morelos, Estado de México., México, Ecatepec De Morelos 55348, MX, Parque Industrial Xalostoc Ecatec, Estado de México, México, MX",Artículos de consumo,"México, Ecatepec De Morelos",55348,Ecatepec
8,SPAN Digital Innovation,"SPAN is a technical strategy and software engineering firm. We conceptualize, develop, and deploy successful SaaS solutions. We synthesize insights fr...",+1 (415) 484 9269,51-200 empleados,,Desarrollo de software,"San Francisco, CA",,Ecatepec
9,Universidad Privada del Estado de México (UPEM),"La UPEM es fundada en el año 2000 como Centro Universitario Privado del Estado de México, en el municipio mexiquense de Ecatepec. Posteriormente se ab...",+52(155)57704218,501-1000 empleados,"Principal
Avenida Revolución 46 Colonia San Cristobal Centro, Ecatepec, Estado de México 55000, MX",Enseñanza superior,,55000,Ecatepec
10,Universidad de Ecatepec,Educar por respeto al ser,15557700633,51-200 empleados,"Principal
Agricultura No. 16, San Cristobal Ecatepec, State of Mexico 55000, MX, San Cristóbal
Estado de mexico, Estado de Mexico MX",Enseñanza superior,,55000,Ecatepec
